"","h16_g3","h16_g4","h16_g6","h16_eco9","h16_reg7","p1602_8aq1"
"671",1,1978,6,132,1,465
"672",2,2014,1,NA,1,NA
"673",1,2017,1,NA,1,NA
"674",2,1987,6,243,2,310
"675",1,1980,7,753,2,410
"676",2,1960,5,951,1,NA
"677",2,1992,6,442,1,210
"678",2,1995,6,NA,1,NA
"679",2,1974,5,521,1,187
"680",1,1975,7,921,1,212
"681",1,1968,5,873,1,356
"682",2,1997,7,521,1,110
"683",1,1958,6,942,1,233
"684",2,1958,4,951,1,58
"685",2,1960,4,NA,1,NA
"686",1,1957,5,521,5,NA
"687",2,1960,4,521,5,NA
"688",2,1995,7,320,5,455
"689",2,1995,5,314,1,252
"690",1,1968,5,842,1,NA
"691",2,1971,5,421,1,92
"692",1,2001,7,NA,1,NA
"693",1,1952,6,141,1,513
"694",2,1952,5,951,1,NA
"695",2,1983,7,281,1,NA
"696",2,1978,7,252,1,557
"697",1,2008,3,NA,1,NA
"698",2,2010,3,NA,1,NA
"699",2,1983,7,NA,1,NA
"700",2,1980,7,422,1,NA
"701",1,1979,7,231,1,589
"702",2,2010,3,NA,1,NA
"703",1,1958,4,431,1,305
"704",2,1965,5,NA,1,NA
"705",2,1993,6,224,1,200
"706",2,1996,7,222,2,323
"707",1,1963,6,772,1,NA
"708",1,1939,4,NA,1,NA
"709",2,1947,3,941,1,150
"710",2,1945,4,951,1,29
"711",2,1930,2,NA,1,NA
"712",2,1949,5,NA,1,NA
"713",2,1945,2,NA,1,NA
"714",2,1930,7,NA,1,NA
"715",2,1937,3,NA,1,NA
"716",2,1956,4,441,1,NA
"717",1,1932,3,NA,1,NA
"718",2,1942,3,NA,1,NA
"719",2,1957,4,NA,1,NA
"720",1,1980,7,284,2,NA
"721",2,1982,7,284,2,NA
"722",1,1982,8,285,1,542
"723",2,1970,6,253,1,193
"724",1,2000,7,NA,1,NA
"725",1,2001,7,NA,1,NA
"726",1,1966,7,313,1,760
"727",2,1970,5,NA,1,NA
"728",2,1998,5,314,1,225
"729",2,2000,7,442,1,NA
"730",1,1940,3,NA,1,NA
"731",2,1944,3,NA,1,NA
"732",1,1972,5,799,1,280
"733",2,1940,4,NA,1,NA
"734",2,1958,4,442,1,283
"735",2,1984,5,314,1,285
"736",2,1982,6,521,1,NA
"737",1,1946,8,121,1,NA
"738",2,1950,7,NA,1,NA
"739",1,1969,6,510,1,288
"740",2,1972,5,441,1,183
"741",2,2001,6,NA,1,NA
"742",2,2003,5,NA,1,NA
"743",1,1960,3,910,1,NA
"744",2,1962,3,442,1,176
"745",1,1942,4,999,1,64
"746",2,1941,4,NA,1,NA
"747",1,1952,3,521,1,NA
"748",2,1956,3,951,1,180
"749",2,1982,6,399,1,NA
"750",1,1976,5,135,1,350
"751",1,2009,3,NA,1,NA
"752",2,2015,1,NA,1,NA
"753",1,1939,3,NA,1,NA
"754",2,1943,3,NA,1,NA
"755",2,1932,2,NA,2,NA
"756",1,1963,7,721,2,302
"757",2,1962,5,531,2,200
"758",2,1990,6,NA,2,NA
"759",1,1986,7,510,2,411
"760",2,2015,1,NA,2,NA
"761",2,2018,1,NA,2,NA
"762",1,2020,1,NA,2,NA
"763",1,1948,4,NA,2,NA
"764",2,1952,4,NA,2,NA
"765",1,1945,7,NA,1,NA
"766",2,1947,7,NA,1,NA
"767",1,1957,5,783,1,NA
"768",2,1962,5,429,1,84
"769",1,1983,5,NA,1,NA
"770",2,1954,3,NA,2,NA
"771",2,1975,5,285,2,368
"772",2,1981,8,NA,2,NA
"773",1,1980,5,312,2,320
"774",2,1946,4,941,1,30
"775",1,1968,7,NA,1,NA
"776",2,1969,7,442,1,NA
"777",2,1997,7,442,1,41
"778",1,2000,7,NA,1,NA
"779",1,1964,6,873,1,679
"780",2,1972,5,532,1,313
"781",2,2001,6,NA,1,NA
"782",1,2002,5,NA,1,NA
"783",1,1962,7,235,1,717
"784",2,1961,7,NA,1,NA
"785",1,1992,7,221,1,395
"786",2,1986,7,612,1,NA
"787",1,1980,7,399,1,375
"788",1,1943,5,NA,1,NA
"789",2,1946,5,NA,1,NA
"790",1,1940,6,NA,1,NA
"791",2,1942,4,NA,1,NA
"792",2,1947,4,NA,7,NA
"793",1,1958,5,532,7,NA
"794",2,1954,3,NA,1,NA
"795",1,1942,5,NA,1,NA
"796",2,1947,5,NA,1,NA
"797",1,1975,5,232,1,333
"798",2,1981,7,NA,1,NA
"799",1,2011,3,NA,1,NA
"800",1,2013,3,NA,1,NA
